	POLYSOLVER	OptiType	xHLA	hla-genotyper	HLA-HD	Kourami	SOAP-HLA	HLA-VBSeq
A01:01(2731)	0.005126327352618088	0.05162943976565361	0.04393994873672647	0.007323324789454412	0.08934456243134382	0.09666788722079825	0.12376418894177957	0.10179421457341634
A02:01(5068)	0.029597474348855565	0.14660615627466456	0.03235990528808208	0.008484609313338595	0.13022888713496447	0.08583267561168113	0.15232833464877663	0.047947908445146015
A03:01(2621)	0.011064479206409768	0.022510492178557804	0.07210988172453262	0.0064860740175505536	0.15909958031285767	0.07974055703929797	0.0843189622281572	0.11026325829835941
A11:01(1368)	0.01827485380116959	0.017543859649122806	0.1162280701754386	0.02266081871345029	0.14912280701754385	0.2448830409356725	0.2010233918128655	0.8377192982456141
A24:02(1881)	0.013290802764486975	0.0430622009569378	0.12014885699096226	0.007974481658692184	0.10685805422647528	0.06273258904837853	0.18075491759702286	0.09250398724082935
A25:01(435)	0.8528735632183908	0.013793103448275862	0.027586206896551724	0.04367816091954023	0.08045977011494253	0.03218390804597701	0.19310344827586207	0.7540229885057471
A26:01(678)	0.01327433628318584	0.02359882005899705	0.05014749262536873	0.004424778761061947	0.11209439528023599	0.07079646017699115	0.12684365781710916	0.6976401179941003
A29:02(581)	0.01549053356282272	0.03270223752151463	0.07228915662650602	0.03442340791738382	0.04475043029259897	0.07228915662650602	0.11703958691910499	0.576592082616179
A32:01(683)	0.005856515373352855	0.020497803806734993	0.03953147877013177	0.007320644216691069	0.1376281112737921	0.04978038067349927	0.14348462664714495	0.6149341142020498
A68:01(648)	0.018518518518518517	0.030864197530864196	0.037037037037037035	0.013888888888888888	0.06172839506172839	0.08641975308641975	0.2021604938271605	0.6697530864197531
B07:02(2307)	0.004334633723450368	0.01907238838318162	0.016038144776766364	0.0034677069787602947	0.044213263979193757	0.035543996532293023	0.11096662332032943	0.18335500650195058
B08:01(1821)	0.029654036243822075	0.0054914881933003845	0.01757276221856123	0.007138934651290499	0.042833607907743	0.032399780340472265	0.12191103789126853	0.17627677100494235
B18:01(969)	0.010319917440660475	0.010319917440660475	0.014447884416924664	0.007223942208462332	0.08668730650154799	0.033023735810113516	0.2951496388028896	0.36119711042311664
B27:05(654)	0.3119266055045872	0.0030581039755351682	0.0290519877675841	0.02599388379204893	0.07033639143730887	0.11467889908256881	0.19724770642201836	0.07951070336391437
B35:01(1238)	0.023424878836833602	0.050080775444264945	0.03877221324717286	0.06058158319870759	0.1074313408723748	0.11066235864297254	0.7867528271405493	0.3368336025848142
B38:01(476)	0.0273109243697479	0.018907563025210083	0.02100840336134454	0.05042016806722689	0.03571428571428571	0.029411764705882353	0.32983193277310924	0.6617647058823529
B40:01(895)	0.01564245810055866	0.021229050279329607	0.02346368715083799	0.042458100558659215	0.09050279329608939	0.09385474860335195	0.10726256983240223	0.6715083798882682
B44:02(1494)	0.04685408299866131	0.039491298527443104	0.051539491298527446	0.022757697456492636	0.14390896921017404	0.18607764390896922	0.3714859437751004	0.23025435073627845
B44:03(935)	0.0106951871657754	0.02459893048128342	0.031016042780748664	0.1144385026737968	0.08663101604278074	0.13689839572192514	0.3304812834224599	0.18716577540106952
B49:01(371)	0.016172506738544475	0.005390835579514825	0.02425876010781671	0.20485175202156333	0.07277628032345014	0.1105121293800539	0.5471698113207547	0.6145552560646901
B51:01(1108)	0.01895306859205776	0.029783393501805054	0.027978339350180504	0.021660649819494584	0.1272563176895307	0.08483754512635379	0.3447653429602888	0.18953068592057762
B52:01(332)	0.018072289156626505	0	0.012048192771084338	0.0572289156626506	0.04216867469879518	0.1355421686746988	0.18674698795180722	0.8795180722891566
B53:01(286)	0.017482517482517484	0.06643356643356643	0.05944055944055944	0.16433566433566432	0.045454545454545456	0.06643356643356643	0.493006993006993	0.7517482517482518
B55:01(304)	0.013157894736842105	0.009868421052631578	0.029605263157894735	0.20065789473684212	0.10526315789473684	0.10197368421052631	0.29276315789473684	0.8256578947368421
B57:01(609)	0.0049261083743842365	0.006568144499178982	0.03776683087027915	0.11658456486042693	0.07060755336617405	0.12807881773399016	0.14942528735632185	0.5615763546798029
B58:01(275)	0.014545454545454545	0.08363636363636363	0.05818181818181818	0.13454545454545455	0.08	0.10545454545454545	0.7381818181818182	0.12727272727272726
C02:02(839)	0.01907032181168057	0.011918951132300357	0.025029797377830752	0.003575685339690107	0.07270560190703218	0.04410011918951132	0.2395709177592372	0.04886769964243146
C03:03(948)	0.014767932489451477	0.04219409282700422	0.04113924050632911	0.6867088607594937	0.1550632911392405	0.07911392405063292	0.24472573839662448	0.0770042194092827
C03:04(1389)	0.018718502519798418	0.06263498920086392	0.05255579553635709	0.11591072714182865	0.1447084233261339	0.07775377969762419	0.1994240460763139	0.5082793376529877
C04:01(2521)	0.013090043633478779	0.041253470844902815	0.027766759222530742	0.002380007933359778	0.0745735819119397	0.03847679492264974	0.1622372074573582	0.09321697738992463
C05:01(1463)	0.010252904989747095	0.02323991797676008	0.03212576896787423	0.007518796992481203	0.059466848940533154	0.039644565960355434	0.15584415584415584	0.23103212576896787
C06:02(1811)	0.009939260077305357	0.04527885146327996	0.2600773053561568	0.04417448923246825	0.0883489784649365	0.04362230811706239	0.05963556046383214	0.39536167863059085
C07:01(2891)	0.041508128675198895	0.020062262193012798	0.05430646835005189	0.008647526807333102	0.23209961950882046	0.03286060186786579	0.06572120373573158	0.08682116914562435
C07:02(2708)	0.011447562776957163	0.04098966026587888	0.04911373707533235	0.03175775480059084	0.11410635155096012	0.048005908419497784	0.05982274741506647	0.19276218611521417
C08:02(716)	0.05027932960893855	0.10474860335195531	0.04329608938547486	0.11871508379888268	0.051675977653631286	0.034916201117318434	0.1634078212290503	0.8631284916201117
C12:02(315)	0.022222222222222223	0.01904761904761905	0.05396825396825397	0.3142857142857143	0.07301587301587302	0.02857142857142857	0.06666666666666667	0.8571428571428571
C12:03(1125)	0.028444444444444446	0.014222222222222223	0.072	0.09333333333333334	0.08622222222222223	0.041777777777777775	0.06133333333333333	0.8897777777777778
C15:02(496)	0.004032258064516129	0.012096774193548387	0.05443548387096774	0.016129032258064516	0.08669354838709678	0.06653225806451613	0.11895161290322581	0.5161290322580645
C16:01(722)	0.01662049861495845	0.01662049861495845	0.02077562326869806	0.04293628808864266	0.07340720221606649	0.04155124653739612	0.07617728531855955	0.3518005540166205
