	HLA-HD	SOAP-HLA	xHLA	hla-genotyper	Kourami	HLA-VBSeq
DPB1:01:01(1405)	0.056227758007117434	0.023487544483985764	0.022775800711743774	0	0	0.8718861209964412
DPB1:02:01(2922)	0.04654346338124572	0.027720739219712527	0.01676933607118412	0	0	0.3648186173853525
DPB1:03:01(1425)	0.0687719298245614	0.04350877192982456	0.04631578947368421	0	0	0.7656140350877193
DPB1:04:01(7697)	0.04859035988047291	0.024555021436923476	0.024555021436923476	0	0	0.41938417565285174
DPB1:04:02(2180)	0.0481651376146789	0.06284403669724771	0.01055045871559633	0	0	0.5954128440366973
DPB1:05:01(844)	0.037914691943127965	0.0462085308056872	0.030805687203791468	0	0	0.8199052132701422
DPB1:06:01(280)	0.05357142857142857	0.04642857142857143	0.03571428571428571	0	0	0.8964285714285715
DPB1:104:01(410)	0.07804878048780488	0.036585365853658534	0.11219512195121951	0	0	0.8829268292682927
DPB1:105:01(278)	0.050359712230215826	0.017985611510791366	0.3273381294964029	0	0	0.8201438848920863
DPB1:10:01(298)	0.0436241610738255	0.030201342281879196	0.026845637583892617	0	0	0.8926174496644296
DPB1:11:01(355)	0.03380281690140845	0.03380281690140845	0.016901408450704224	0	0	0.8929577464788733
DPB1:13:01(510)	0.07450980392156863	0.045098039215686274	0.08627450980392157	0	0	0.8901960784313725
DPB1:17:01(358)	0.07541899441340782	0.07541899441340782	0.0335195530726257	0	0	0.8044692737430168
DQA1:01:01(2491)	0.060216780409474105	0.03251706142111602	0	0.008831794460056202	0.0004014452027298274	0.3243677238057005
DQA1:01:02(4469)	0.045871559633027525	0.03490713806220631	0	0.039158648467218615	0.03871112105616469	0.2588946072946968
DQA1:01:03(1596)	0.045112781954887216	0.023809523809523808	0	0.07080200501253132	0.03446115288220551	0.45864661654135336
DQA1:01:04(604)	0.014900662251655629	0.014900662251655629	0	0.09602649006622517	0.8708609271523179	0.5562913907284768
DQA1:01:05(316)	0.0031645569620253164	0.006329113924050633	0	0.3987341772151899	0.6613924050632911	0.17721518987341772
DQA1:02:01(2540)	0.0031496062992125984	0.05354330708661417	0	0.020866141732283464	0.09015748031496063	0.6622047244094488
DQA1:03:01(2332)	0.034734133790737566	0.21355060034305318	0	0.12521440823327615	0.04159519725557462	0.03687821612349914
DQA1:03:03(1153)	0.015611448395490026	0.027753686036426712	0	0.0598438855160451	0.7614917606244579	0.4527320034692108
DQA1:04:01(736)	0.06114130434782609	0.06114130434782609	0	0.001358695652173913	0.09646739130434782	0.36684782608695654
DQA1:05:01(2199)	0.16371077762619374	0.06866757617098682	0	0.005911778080945885	0.3451568894952251	0.690768531150523
DQA1:05:05(2614)	0.09525631216526396	0.027161438408569244	0	0.01224177505738332	0.8902065799540934	0.6178270849273144
DQB1:02:01(3284)	0.08343483556638245	0.2685749086479903	0.07551766138855055	0.0015225334957369061	0.0712545676004872	0.07886723507917175
DQB1:02:02(1726)	0.004055619930475087	0.03707995365005794	0.004055619930475087	0.41888760139049824	0.3424101969872538	0.2589803012746234
DQB1:03:01(4165)	0.18799519807923168	0.12965186074429771	0.02376950780312125	0.0007202881152460984	0.055222088835534214	0.5039615846338535
DQB1:03:02(1904)	0.11029411764705882	0.10766806722689076	0.009453781512605041	0.005252100840336135	0.05619747899159664	0.5115546218487395
DQB1:03:03(1004)	0.23207171314741035	0.08266932270916334	0.010956175298804782	0.0099601593625498	0.06673306772908366	0.749003984063745
DQB1:04:02(736)	0.10461956521739131	0.10326086956521739	0.004076086956521739	0.010869565217391304	0.025815217391304348	0.5529891304347826
DQB1:05:01(2523)	0.010305192231470472	0.0023781212841854932	0.003963535473642489	0.007134363852556481	0.013872374157748711	0.6127625842251289
DQB1:05:02(637)	0.01098901098901099	0.0015698587127158557	0.004709576138147566	0.026687598116169546	0.007849293563579277	0.6703296703296703
DQB1:05:03(631)	0.003169572107765452	0.003169572107765452	0.004754358161648178	0.006339144215530904	0.009508716323296355	0.5277337559429477
DQB1:06:01(333)	0.006006006006006006	0.006006006006006006	0.006006006006006006	0.006006006006006006	0.04804804804804805	0.6246246246246246
DQB1:06:02(2779)	0.037423533645196114	0.0032385750269881253	0.020151133501259445	0.019071608492263404	0.04066210867218424	0.4350485786254048
DQB1:06:03(1264)	0.021360759493670885	0.0007911392405063291	0.013449367088607595	0.00870253164556962	0.051424050632911396	0.689873417721519
