soft_allele	allNum	allerrorNum	top1	top2	other	top1_ratio	top2_ratio	other_ratio	str1	str2	str3	str4	str5	str6	str7	str8	allerrorRatio
hla-genotyper_DRB1:14:54	493	451	442	3	6	0.9800443458980045	0.0066518847006651885	0.013303769401330377	allele_all_num	error_num_total	DRB1:14:01	DRB1:15:01	other	top1_ratio	top2_ratio	other_ratio	0.9148073022312373
hla-genotyper_DRB1:09:01	401	373	45	37	291	0.12064343163538874	0.09919571045576407	0.7801608579088471	allele_all_num	error_num_total	DRB1:07:01	DRB1:15:01	other	top1_ratio	top2_ratio	other_ratio	0.9301745635910225
HLA-HD_DRB1:16:01	360	237	181	12	44	0.7637130801687764	0.05063291139240506	0.18565400843881857	allele_all_num	error_num_total	DRB1:15:11	DRB1:16:45	other	top1_ratio	top2_ratio	other_ratio	0.6583333333333333
HLA-HD_DQB1:03:03	1004	233	140	55	38	0.6008583690987125	0.23605150214592274	0.1630901287553648	allele_all_num	error_num_total	DQB1:03:96	DQB1:03:22	other	top1_ratio	top2_ratio	other_ratio	0.23207171314741035
HLA-VBSeq_DRB1:04:02	218	208	95	45	68	0.4567307692307692	0.21634615384615385	0.3269230769230769	allele_all_num	error_num_total	DRB1:04:73	DRB1:04:134	other	top1_ratio	top2_ratio	other_ratio	0.9541284403669725
HLA-VBSeq_DRB1:04:04	635	617	208	133	276	0.3371150729335494	0.21555915721231766	0.4473257698541329	allele_all_num	error_num_total	DRB1:04:01	DRB1:04:72	other	top1_ratio	top2_ratio	other_ratio	0.9716535433070866
SOAP-HLA_DRB1:11:01	1291	801	444	269	88	0.5543071161048689	0.3358302122347066	0.10986267166042447	allele_all_num	error_num_total	DRB1:08	DRB1:11	other	top1_ratio	top2_ratio	other_ratio	0.6204492641363284
SOAP-HLA_DRB1:13:03	278	274	52	49	173	0.1897810218978102	0.17883211678832117	0.6313868613138686	allele_all_num	error_num_total	DRB1:	DRB1:08	other	top1_ratio	top2_ratio	other_ratio	0.9856115107913669
xHLA_DPB1:105:01	278	91	75	7	9	0.8241758241758241	0.07692307692307693	0.0989010989010989	allele_all_num	error_num_total	DPB1:04:02	DPB1:133:01	other	top1_ratio	top2_ratio	other_ratio	0.3273381294964029
xHLA_DPB1:104:01	410	46	15	11	20	0.32608695652173914	0.2391304347826087	0.43478260869565216	allele_all_num	error_num_total	DPB1:03:01	DPB1:124:01	other	top1_ratio	top2_ratio	other_ratio	0.11219512195121951
Kourami_DQA1:01:04	604	526	387	103	36	0.7357414448669202	0.1958174904942966	0.06844106463878327	allele_all_num	error_num_total	DQA1:01:01	DQA1:01:02	other	top1_ratio	top2_ratio	other_ratio	0.8708609271523179
Kourami_DQA1:05:05	2614	2327	1412	316	599	0.6067898581865062	0.13579716373012463	0.25741297808336916	allele_all_num	error_num_total	DQA1:05:01	DQA1:01:02	other	top1_ratio	top2_ratio	other_ratio	0.8902065799540934
